"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2026-01-31 08:44:04","""1739320""","""144.208.127.217:8000""","""ip:port""","""botnet_cc""","""win.sliver""","""None""","""Sliver""","""2026-02-01 03:44:00""","""75""","""False""","""None""","""drb-ra","Sliver"""
"2026-01-31 08:39:25","""1739238""","""138.226.237.76:80""","""ip:port""","""botnet_cc""","""win.stealc""","""None""","""Stealc""","""2026-01-31 23:00:17""","""100""","""False""","""None""","""2","c2"
"2026-01-31 08:39:21","""1739274""","""104.238.177.164:80""","""ip:port""","""botnet_cc""","""win.stealc""","""None""","""Stealc""","""2026-01-31 04:00:06""","""100""","""False""","""None""","""c2","loader"
"2026-01-31 08:36:29","""1739308""","""94.247.42.253:80""","""ip:port""","""botnet_cc""","""win.koiloader""","""None""","""Koi Loader""","""""","""75""","""False""","""https://bazaar.abuse.ch/sample/dd56d8d92b125dc1cbd12a164274adf032f2053bfa5ac48c39e645fa1b61400f/""","""KoiLoader""","""0"""
"2026-01-31 08:32:41","""1739302""","""167.160.191.207:80""","""ip:port""","""botnet_cc""","""win.cobalt_strike""","""Agentemis","BEACON","CobaltStrike","cobeacon""","""Cobalt Strike""","""""","""100""","""False"""
"2026-01-31 08:01:12","""1739301""","""3.133.148.37:113""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/3.133.148.37""","""AMAZON-02","AS16509"
"2026-01-31 08:01:11","""1739299""","""43.208.198.212:7754""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/43.208.198.212""","""AMAZON-02","AS16509"
"2026-01-31 08:01:11","""1739300""","""103.177.47.113:3790""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/103.177.47.113""","""AS58580","C2"
"2026-01-31 08:01:06","""1739298""","""103.85.226.80:4321""","""ip:port""","""botnet_cc""","""win.adaptix_c2""","""None""","""AdaptixC2""","""2026-02-01 03:43:14""","""100""","""False""","""https://search.censys.io/hosts/103.85.226.80""","""AdaptixC2","AS401696"
"2026-01-31 08:00:45","""1739297""","""172.81.130.143:5000""","""ip:port""","""botnet_cc""","""win.venom""","""None""","""Venom RAT""","""2026-01-31 11:00:33""","""100""","""False""","""https://search.censys.io/hosts/172.81.130.143""","""AS27176","C2"
"2026-01-31 08:00:28","""1739296""","""87.248.180.43:443""","""ip:port""","""botnet_cc""","""win.sliver""","""None""","""Sliver""","""2026-02-01 03:48:05""","""100""","""False""","""https://search.censys.io/hosts/87.248.180.43""","""AS31252","C2"
"2026-01-31 08:00:24","""1739295""","""108.163.159.173:20526""","""ip:port""","""botnet_cc""","""win.remcos""","""RemcosRAT","Remvio","Socmer""","""Remcos""","""2026-02-01 03:43:25""","""100""","""False""","""https://search.censys.io/hosts/108.163.159.173"""
"2026-01-31 06:35:05","""1739293""","""193.161.193.99:62402""","""ip:port""","""botnet_cc""","""win.quasar_rat""","""CinaRAT","QuasarRAT","Yggdrasil""","""Quasar RAT""","""""","""100""","""False""","""None"""
"2026-01-31 06:02:26","""1739290""","""185.100.157.244:16002""","""ip:port""","""botnet_cc""","""win.quasar_rat""","""CinaRAT","QuasarRAT","Yggdrasil""","""Quasar RAT""","""""","""100""","""False""","""https://tria.ge/260131-efakfsgw7b"""
"2026-01-31 04:01:24","""1739285""","""45.93.20.141:80""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/45.93.20.141""","""AS57523","C2"
"2026-01-31 04:01:24","""1739286""","""45.93.20.141:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/45.93.20.141""","""AS57523","C2"
"2026-01-31 04:01:21","""1739284""","""159.89.43.34:443""","""ip:port""","""botnet_cc""","""win.empire_downloader""","""None""","""Empire Downloader""","""""","""100""","""False""","""https://search.censys.io/hosts/159.89.43.34""","""AS14061","C2"
"2026-01-31 04:01:17","""1739283""","""43.209.123.29:103""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/43.209.123.29""","""AMAZON-02","AS16509"
"2026-01-31 04:01:07","""1739282""","""216.10.244.155:443""","""ip:port""","""botnet_cc""","""elf.bashlite""","""gayfgt","Gafgyt","qbot","torlus","lizkebab""","""Bashlite""","""""","""100"""
"2026-01-31 04:00:52","""1739281""","""176.57.218.167:8888""","""ip:port""","""botnet_cc""","""win.dcrat""","""DarkCrystal RAT""","""DCRat""","""2026-01-31 11:00:36""","""100""","""False""","""https://search.censys.io/hosts/176.57.218.167""","""AS9123","C2"
"2026-01-31 04:00:31","""1739280""","""195.88.191.66:443""","""ip:port""","""botnet_cc""","""unknown_rat""","""None""","""Unknown RAT""","""""","""100""","""False""","""https://search.censys.io/hosts/195.88.191.66""","""AS199959","C2"
"2026-01-31 04:00:25","""1739278""","""23.249.28.95:14994""","""ip:port""","""botnet_cc""","""win.ghost_rat""","""Farfli","Gh0st RAT","PCRat""","""Ghost RAT""","""2026-01-31 11:00:16""","""100""","""False""","""https://search.censys.io/hosts/23.249.28.95"""
"2026-01-31 04:00:25","""1739279""","""23.249.28.96:14994""","""ip:port""","""botnet_cc""","""win.ghost_rat""","""Farfli","Gh0st RAT","PCRat""","""Ghost RAT""","""2026-01-31 11:00:16""","""100""","""False""","""https://search.censys.io/hosts/23.249.28.96"""
"2026-01-31 04:00:10","""1739277""","""101.37.236.20:443""","""ip:port""","""botnet_cc""","""win.cobalt_strike""","""Agentemis","BEACON","CobaltStrike","cobeacon""","""Cobalt Strike""","""2026-01-31 11:00:13""","""100""","""False"""
"2026-01-31 04:00:07","""1739276""","""47.109.130.74:9000""","""ip:port""","""botnet_cc""","""win.cobalt_strike""","""Agentemis","BEACON","CobaltStrike","cobeacon""","""Cobalt Strike""","""2026-01-31 11:00:14""","""100""","""False"""
"2026-01-31 04:00:05","""1739275""","""45.86.86.181:80""","""ip:port""","""botnet_cc""","""win.cobalt_strike""","""Agentemis","BEACON","CobaltStrike","cobeacon""","""Cobalt Strike""","""2026-01-31 11:00:07""","""100""","""False"""
"2026-01-31 00:06:11","""1739259""","""159.89.43.34:80""","""ip:port""","""botnet_cc""","""win.empire_downloader""","""None""","""Empire Downloader""","""""","""100""","""False""","""https://search.censys.io/hosts/159.89.43.34""","""AS14061","C2"
"2026-01-31 00:06:07","""1739258""","""196.221.166.170:443""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/196.221.166.170""","""AS24835","C2"
"2026-01-31 00:06:06","""1739257""","""196.75.120.225:2222""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/196.75.120.225""","""AS36903","C2"
"2026-01-31 00:05:41","""1739256""","""79.241.98.68:81""","""ip:port""","""botnet_cc""","""win.netsupportmanager_rat""","""NetSupport""","""NetSupportManager RAT""","""2026-02-01 03:47:52""","""100""","""False""","""https://search.censys.io/hosts/79.241.98.68""","""AS3320","C2"
"2026-01-31 00:05:33","""1739255""","""98.85.71.175:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-01-31 11:00:28""","""100""","""False""","""https://search.censys.io/hosts/98.85.71.175""","""AMAZON-AES","AS14618"
"2026-01-31 00:05:05","""1739254""","""5.61.208.94:10333""","""ip:port""","""botnet_cc""","""win.remcos""","""RemcosRAT","Remvio","Socmer""","""Remcos""","""2026-02-01 03:47:29""","""100""","""False""","""https://search.censys.io/hosts/5.61.208.94"""
"2026-01-31 00:05:04","""1739253""","""45.83.31.224:1234""","""ip:port""","""botnet_cc""","""win.remcos""","""RemcosRAT","Remvio","Socmer""","""Remcos""","""2026-02-01 03:47:17""","""100""","""False""","""https://search.censys.io/hosts/45.83.31.224"""
"2026-01-31 00:05:03","""1739252""","""198.23.175.59:2404""","""ip:port""","""botnet_cc""","""win.remcos""","""RemcosRAT","Remvio","Socmer""","""Remcos""","""2026-02-01 03:46:13""","""100""","""False""","""https://search.censys.io/hosts/198.23.175.59"""
"2026-01-30 23:20:07","""1739251""","""91.92.243.78:5007""","""ip:port""","""botnet_cc""","""win.quasar_rat""","""CinaRAT","QuasarRAT","Yggdrasil""","""Quasar RAT""","""2026-02-01 00:01:14""","""100""","""False""","""None"""
"2026-01-30 23:01:32","""1739250""","""201.192.179.243:443""","""ip:port""","""botnet_cc""","""win.qakbot""","""Oakboat","Pinkslipbot","Qbot","Quakbot""","""QakBot""","""""","""100""","""False"""
"2026-01-30 23:01:21","""1739249""","""3.91.75.5:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/3.91.75.5""","""AS14618","censys"
"2026-01-30 23:01:19","""1739248""","""52.57.28.240:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/52.57.28.240""","""AS16509","censys"
"2026-01-30 23:01:18","""1739247""","""98.86.4.179:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/98.86.4.179""","""AS14618","censys"
"2026-01-30 23:01:16","""1739246""","""185.167.60.126:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/185.167.60.126""","""AS46475","censys"
"2026-01-30 23:01:15","""1739245""","""52.86.158.181:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/52.86.158.181""","""AS14618","censys"
